id,city,x,y,z
261,Feuchtwangen-OT-Banzenweiler,10.312,49.197,460.0
262,Fichtenberg,9.713,48.989,352.0
263,FINO,6.172,54.008,21.0
264,FINO2,13.157,55.012,10.0
265,FINO3,7.152,55.021,24.0
266,Fischbachau,11.956,47.719,784.0
267,Fladungen,10.151,50.521,399.0
268,Flensburg,9.375,54.776,39.0
269,Forst,14.627,51.748,74.0
270,Forstwiesen,11.536,48.704,365.0
271,Frankenthal/Pfalz,8.371,49.541,90.0
272,Fredelsloh,9.785,51.734,259.0
273,Fredenbeck,9.398,53.522,19.0
274,Friedberg-Hessen,8.75,50.317,150.0
275,Fritzlar,9.292,51.123,175.0
276,Frontenhausen,12.515,48.543,405.0
277,Gaggenau-ST-Ottenau,8.334,48.788,150.0
278,Garching-B.-M?nchen,11.664,48.261,478.0
279,Gardelegen,11.394,52.513,46.0
280,Gauting,11.374,48.078,580.0
281,Geesthacht,10.337,53.432,0.0
282,Geisenhausen,12.273,48.47,460.0
283,Geldern,6.328,51.523,24.0
284,Gem?nden-Am-Main,9.687,50.061,160.0
285,Genthin,12.16,52.387,35.0
286,Georgsdorf,7.078,52.569,20.0
287,Geretsried,11.477,47.869,600.0
288,Germersheim,8.364,49.207,105.0
289,Gerolstein,6.622,50.209,482.0
290,Gettorf,9.966,54.397,20.0
291,Goch-Asperden,6.111,51.691,15.0
292,G?ppingen-ST-Hohenstauf.,9.721,48.739,500.0
293,Goldbach,9.174,49.998,160.0
294,Goldbeck,11.862,52.712,28.0
295,Grambek,10.68,53.573,28.0
296,Grammendorf,12.877,54.032,30.0
297,Grasdorf,9.793,52.303,70.0
298,Greifenstein,8.293,50.578,250.0
299,Greifswald,13.406,54.097,4.0
300,Grettstadt-OT-D?rrfeld,10.362,49.977,239.0
301,Gro?-Denkte,10.628,52.146,137.0
302,Gro?-Kreutz-OT-Jeserig,12.701,52.41,40.0
303,Gro?-Leine,14.066,51.998,55.0
304,Gro?-Schacksdorf,14.624,51.689,84.0
305,Gro?-Tw?lpstedt,10.925,52.376,98.0
306,Gro?enaspe,9.974,53.968,37.0
307,Gro?mu?,11.953,48.835,398.0
308,Gro?rinderfeld,9.739,49.665,314.0
309,G?tzkow,13.419,53.945,25.0
310,Haberskirchen,12.649,48.513,443.0
311,Hagermarsch-AS-Hilgenriedersiel,7.285,53.665,11.0
312,Haigerloch-ST-Gruol,8.779,48.345,520.0
313,Haiming,12.885,48.212,363.0
314,Hainichen-OT-Crumbach,13.104,50.978,314.0
315,Halberstadt,11.045,51.86,139.0
316,Halle,11.966,51.519,87.0
317,Halle-H?rste,8.302,52.047,100.0
318,Handeloh,9.833,53.248,60.0
319,Haseldorf,9.574,53.636,10.0
320,Heidenheim-Am-Hahne,10.736,49.02,520.0
321,Heitersheim,7.637,47.876,220.0
322,Helmstedt,11.024,52.234,168.0
323,Hennef/Sieg,7.284,50.786,65.0
324,Herdwangen-Sch?nach,9.238,47.863,650.0
325,Herzlake,7.595,52.68,25.0
326,Hessisch-Oldendorf,9.242,52.173,70.0
327,Hettingen-ST-Inneringen,9.277,48.191,785.0
328,Hildburghausen,10.734,50.414,485.0
329,Hildesheim,9.984,52.149,120.0
330,Himmelpforten,9.319,53.627,5.0
331,Hirzenhain,9.136,50.39,244.0
332,Hitzacker,11.04,53.142,30.0
333,H?henrain,11.389,47.929,640.0
334,H?rnum-Sylt,8.286,54.769,10.0
335,H?tensleben,11.023,52.118,101.0
336,Hofheim-A.T.Wallau,8.367,50.064,160.0
337,Hohenberg-A.d.Eger,12.224,50.092,483.0
338,Hohensaaten,14.15,52.874,10.0
339,Hohenstein,9.329,48.347,750.0
340,Holzminden,9.444,51.84,87.0
341,Homburg/Saar,7.34,49.312,365.0
342,Hornburg,10.604,52.035,89.0
343,H?nxe,6.759,51.643,63.0
344,Insel-Neuwerk,8.502,53.921,4.0
345,Insel-Vilm,13.534,54.325,10.0
346,Jade-Jaderberg,8.192,53.337,2.0
347,Jaebetz,12.365,53.316,85.0
348,J?nkerath,6.572,50.348,480.0
349,Kalkar-Wissel,6.291,51.762,17.0
350,Kalkhorst,11.04,53.966,25.0
351,Karlshausen,6.225,50.021,510.0
352,Kerpen-Sindorf,6.681,50.914,130.0
353,Kiebitzreihe,9.615,53.783,16.0
354,Kienitz,14.432,52.673,9.0
355,Kirchdorf-Im-Wald,13.265,48.909,650.0
356,Kirchhatten,8.352,53.02,37.0
357,Kirchheimbolanden,8.013,49.661,300.0
358,Kirchwalsede,9.393,53.021,60.0
359,Kleinheubach,9.212,49.717,120.0
360,Klockow,14.003,53.395,50.0
361,K?ln-Weidenpesch,6.951,50.987,45.0
362,Konzell,12.711,49.071,584.0
363,Krauschwitz-OT-Werdeck,14.896,51.477,135.0
364,Krefeld-Fischeln,6.538,51.302,40.0
365,Krempe,9.492,53.839,1.0
366,Kressbronn,9.597,47.592,400.0
367,Kreuth,11.749,47.644,795.0
368,Kronwieden,12.436,48.631,358.0
369,K?sten,11.066,52.98,23.0
370,Kuhstorf,11.242,53.384,30.0
371,Kulmbach-OT-Mangersreuth,11.445,50.085,355.0
372,Kyllburg,6.6,50.035,385.0
373,Kyritz,12.409,52.936,40.0
374,Lahnstein,7.593,50.32,65.0
375,Lahr,7.828,48.365,150.0
376,Langerwehe-Schlich,6.397,50.802,184.0
377,Legden-Asbeck,7.148,52.053,70.0
378,Leidersbach,9.233,49.9,240.0
379,Leipnitz,12.832,51.202,193.0
380,Lensahn,10.897,54.218,19.0
381,Lichtenfels,11.084,50.144,315.0
382,Lichtenwald,9.484,48.743,440.0
